Title,Release,Genre,Age,Nation,Type,Director,Main_actor,Audi
엣지 오브 투모로우,2014-06-04,"액션,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",더그 라이만,"톰 크루즈,에밀리 블런트,빌 팩스톤",4706213
신세계,2013-02-21,"범죄,액션",청소년관람불가,한국,"필름,2D",박훈정,"이정재,최민식,황정민",4689828
신비한 동물사전,2016-11-16,"어드벤처,가족,판타지",12세이상관람가,"미국,영국","2D,3D,4D,IMAX",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이",4669702
도가니,2011-09-22,드라마,청소년관람불가,한국,"필름,2D",황동혁,"정유미,공유",4662926
쿵푸 팬더,2008-06-05,"애니메이션,코미디,액션,가족",전체관람가,미국,"필름,2D,IMAX","마크 오스본,존 스티븐슨","더스틴 호프만,루시 루,잭 블랙,안젤리나 졸리,성룡,김기현",4654266
내 아내의 모든 것,2012-05-17,"코미디,멜로/로맨스",15세이상관람가,한국,"필름,2D",민규동,"임수정,이선균,류승룡",4598985
스파이더맨 3,2007-05-01,"액션,SF",12세이상관람가,미국,필름,샘 레이미,"토비 맥과이어,커스틴 던스트",4592309
판도라,2016-12-07,"드라마,스릴러",12세이상관람가,한국,"2D,4D",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민",4585116
맘마미아!,2008-09-03,"멜로/로맨스,뮤지컬",12세이상관람가,미국,"필름,2D",필리다 로이드,"아만다 사이프리드,메릴 스트립,콜린 퍼스",4579773
나쁜 녀석들: 더 무비,2019-09-11,"범죄,액션",15세이상관람가,한국,2D,손용호,"마동석,김상중,김아중,장기용",4573902
캐리비안의 해적: 세상의 끝에서,2007-05-23,"액션,코미디,어드벤처,판타지",12세이상관람가,미국,필름,고어 버빈스키,"조니 뎁,올랜도 블룸",4571229
가문의 위기(가문의 영광2),2005-09-07,코미디,15세관람가,한국,필름,정용기,"신현준,김수미,김원희,정준하",4529876
연가시,2012-07-05,"공포(호러),SF",15세이상관람가,한국,"필름,2D",박정우,"김명민,문정희,김동완,이하늬",4516063
터미네이터 : 미래전쟁의 시작,2009-05-21,"SF,액션",15세이상관람가,미국,"필름,2D",맥지,"크리스찬 베일,샘 워싱턴,문 블러드굿,안톤 옐친",4499776
강철비,2017-12-14,"액션,드라마",15세이상관람가,한국,2D,양우석,"정우성,곽도원",4459879
아이언맨 2,2010-04-29,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,4D,IMAX",존 파브로,"로버트 다우니 주니어,기네스 팰트로우,돈 치들,스칼렛 요한슨,미키 루크",4452900
해리포터와 죽음의 성물2,2011-07-13,"판타지,미스터리",전체관람가,미국,"필름,2D,3D,4D,IMAX",데이빗 예이츠,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트",4426983
더 퍼스트 슬램덩크,2023-01-04,애니메이션,12세이상관람가,일본,"2D,IMAX,DOLBYCINEMA",이노우에 다케히코,,4425235
다만 악에서 구하소서,2020-08-05,"범죄,액션",15세이상관람가,한국,2D,홍원찬,"황정민,이정재,박정민,박소이",4421210
헌트,2022-08-10,"액션,드라마",15세이상관람가,한국,2D,이정재,"이정재,정우성,전혜진,허성태,고윤정,김종수,정만식",4357873
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"액션,판타지,SF,어드벤처",12세이상관람가,미국,"필름,2D,3D,4D",브라이언 싱어,"휴 잭맨,제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스",4352390
강철중: 공공의 적 1-1,2008-06-19,"드라마,액션",15세이상관람가,한국,"필름,2D",강우석,"설경구,정재영,김영필",4313871
아이언맨,2008-04-30,"SF,드라마,액션",12세이상관람가,미국,"필름,2D,4D",존 파브로,"로버트 다우니 주니어,테렌스 하워드,제프 브리지스,기네스 팰트로우",4313102
아가씨,2016-06-01,"스릴러,드라마",청소년관람불가,한국,2D,박찬욱,"김민희,김태리,하정우,조진웅",4300365
박물관이 살아있다!,2006-12-21,"코미디,어드벤처",전체관람가,미국,필름,숀 레비,"벤 스틸러,로빈 윌리엄스",4289008
다크 나이트,2008-08-06,"범죄,드라마,액션,미스터리",15세이상관람가,미국,"필름,2D,4D,IMAX",크리스토퍼 놀란,"크리스찬 베일,마이클 케인,히스 레저",4245247
말아톤,2005-01-27,드라마,전체관람가,한국,필름,정윤철,"조승우,김미숙",4228360
어메이징 스파이더맨 2,2014-04-23,"액션,판타지",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",마크 웹,"앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한",4196859
